reviewer,description,rating,review_date
Cecilia Tejada-Ortiz,,5.0,2 days ago
Josias Mogollon,Excellent service and they give me the best options,5.0,3 days ago
Joey Pangelina,,5.0,3 days ago
Orlando Echazarreta,,5.0,4 days ago
Kaseen Jackson,Mike was very helpful and professional. He made my experience great. I'm glad I own Honda.,5.0,5 days ago
delvon green,"<span class=""review-full-text"" style=""display:none"">Ann Marie is the sales person everybody should encounter. She is an amazing soul with high energy. She help my sister get a car like a year and a half ago and turned around to help me get in a car. She’s very detailed, organized, patient, and helpful. She’s was there with me every step of the way. She didn’t  to leave until after I signed My paperwork. I thought  she left after she walked me to my new car. I was In the parking lot talking on the phone, she pulled up just to make sure that I was okay. She told me anybody that I help isn’t a customer they become family. May be small to some but that’s big for me. She’s invested in her career. It’s not about a sale or a pay check with her, she’s really there to make sure this is  what you really want to invest in. Even the guy that help me signed my paperwork was AMAZING! Im sorry but I forgot his name. He was super funny, explained every document to me in full detail. I’m like pinch me, I must be dreaming but I wasn’t. They were two awesome angles that was sent to brighten up my day! Concord Honda is the place to go!</span>",5.0,6 days ago
Alejandro Wence,"Got my 2022 civic hatchback here Prabh helped me out, very good service.",5.0,a week ago
Rodney Latin,"<span class=""review-full-text"" style=""display:none"">Anna  Marie is a very hard working Women that sales alot of car ,but tge people she is currently working with is lazy as fuvk ,as well as slow 🐌 too by getting thing done in a fashionable manner.  You all need to get a better car washer too.<br>To whom it my concern in the corporate office move Anna Marie  to a higher level in Concord of Honda . Thanks for reading this message, don't just read it do something about it.</span>",4.0,a week ago
Lorena Martinez,,5.0,a week ago
Vince Rossi,"<span class=""review-full-text"" style=""display:none"">Salesman was helpful. Didn't get me the deal I initially wanted to do but his alternative suggestion worked well. However the communication between him and the finance ans the team wasn't good. Trade equity check took twice as long to get then what was promised (was told 3 to 5 days, got it on the 11th day after the sale and I had to go to the dealer twice to make it happen since nobody answers the phones and they give you the transfer in circle game). Probably wouldn't shop here again but again the Salesman was good.</span>",3.0,a week ago
Cecilia Tejada-Ortiz,,5.0,2 days ago
Josias Mogollon,Excellent service and they give me the best options,5.0,3 days ago
Joey Pangelina,,5.0,3 days ago
Orlando Echazarreta,,5.0,4 days ago
Kaseen Jackson,Mike was very helpful and professional. He made my experience great. I'm glad I own Honda.,5.0,5 days ago
delvon green,"<span class=""review-full-text"" style=""display:none"">Ann Marie is the sales person everybody should encounter. She is an amazing soul with high energy. She help my sister get a car like a year and a half ago and turned around to help me get in a car. She’s very detailed, organized, patient, and helpful. She’s was there with me every step of the way. She didn’t  to leave until after I signed My paperwork. I thought  she left after she walked me to my new car. I was In the parking lot talking on the phone, she pulled up just to make sure that I was okay. She told me anybody that I help isn’t a customer they become family. May be small to some but that’s big for me. She’s invested in her career. It’s not about a sale or a pay check with her, she’s really there to make sure this is  what you really want to invest in. Even the guy that help me signed my paperwork was AMAZING! Im sorry but I forgot his name. He was super funny, explained every document to me in full detail. I’m like pinch me, I must be dreaming but I wasn’t. They were two awesome angles that was sent to brighten up my day! Concord Honda is the place to go!</span>",5.0,6 days ago
Cecilia Tejada-Ortiz,,5.0,2 days ago
Alejandro Wence,"Got my 2022 civic hatchback here Prabh helped me out, very good service.",5.0,a week ago
Rodney Latin,"<span class=""review-full-text"" style=""display:none"">Anna  Marie is a very hard working Women that sales alot of car ,but tge people she is currently working with is lazy as fuvk ,as well as slow 🐌 too by getting thing done in a fashionable manner.  You all need to get a better car washer too.<br>To whom it my concern in the corporate office move Anna Marie  to a higher level in Concord of Honda . Thanks for reading this message, don't just read it do something about it.</span>",4.0,a week ago
Josias Mogollon,Excellent service and they give me the best options,5.0,3 days ago
Cecilia Tejada-Ortiz,,5.0,2 days ago
Lorena Martinez,,5.0,a week ago
